title,text,origin,url,label,publisher_name,publisher_site,date
Vídeo com vaias a Nando Reis teve áudio manipulado e não foi gravado no Rock in Rio,“Nando Reis se F… Se F…. no Rock in Rio”,pessoa,https://lupa.uol.com.br/jornalismo/2022/09/09/nando-reis-audio-rock-in-rio,1,Lupa - UOL,lupa.uol.com.br,
Documentos confirmam uso de dinheiro vivo na compra de 51 imóveis da família Bolsonaro,"“Não foi dinheiro vivo. Moeda corrente, quer dizer o dinheiro do país. Então, se um imóvel foi comprado em moeda corrente, significa que ele foi comprado em reais""",Cristina Graeml,https://lupa.uol.com.br/jornalismo/2022/09/09/dinheiro-vivo-uol,1,Lupa - UOL,lupa.uol.com.br,2022-09-06T00:00:00Z
G1 não publicou notícia de que rainha Elizabeth II elogiou Bolsonaro antes de morrer,"“Em seus últimos momentos de vida, rainha Elizabeth II menciona Bolsonaro

Integrantes da guarda real do Reino Unido, relataram à redação do G1, que a Rainha Elizabeth II que se encontra em seu leito de morte, falou a membros da família real: ‘Bolsonaro é o melhor para o Brasil.’”",Imagem no WhatsApp,https://lupa.uol.com.br/jornalismo/2022/09/08/rainha-elizabeth-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
TSE não proibiu governo de tomar medidas para baixar preço do combustível,"“TSE MARCOU PARA PRÓXIMA SEMANA JULGAMENTO ONDE IRÁ PROIBIR A PETROBRÁS DE DIMINUIR PREÇO DA GASOLINA, MESMO O DÓLAR BAIXANDO E O BARRIL DE PETRÓLEO, MESMO ASSIM A PETROBRÁS NÃO VAI PODER DIMINUIR O PREÇO DOS COMBUSTÍVEIS, TUDO ISSO O TSE ESTÁ FAZENDO PARA PREJUDICAR O BRASIL E PREJUDICAR BOLSONARO”",pessoa,https://lupa.uol.com.br/jornalismo/2022/09/08/tse-governo-preco-combustivel,1,Lupa - UOL,lupa.uol.com.br,
É falso que órgão de saúde dos EUA passou a recomendar ivermectina para Covid-19,"De repente, a Ivermectina aparece no site do NIH para tratar o Covid. Depois de anos de negação, bloqueio, interferência, difamação, arruinando contas de mídia social, matando pessoas, etc., eles silenciosamente o adicionam ao seu protocolo antiviral.",Post no WhatsApp,https://lupa.uol.com.br/jornalismo/2022/09/08/orgao-saude-eua-ivermectina-covid-19,1,Lupa - UOL,lupa.uol.com.br,2022-09-08T00:00:00Z
É falso que arma usada em atentado contra Cristina Kirchner era uma pistola d'água,"Mais uma palhaçada da Cristina Kirchner Comunista, tudo foi uma armação não tinha bala na pistola 🔫 tinha água e a mídia fazendo o trabalho sujo de mentir pro povo .”",Publicação no Facebook,https://lupa.uol.com.br/jornalismo/2022/09/07/cristina-kirchner-pistola-agua,1,Lupa - UOL,lupa.uol.com.br,2022-09-02T00:00:00Z
Foto antiga do Burj Khalifa com as cores do Brasil viralizou nas redes,"O edifício mais alto do mundo, o Burj Khalifa, em Dubai, está iluminado com as cores da bandeira brasileira por conta do Dia da Independência”",Publicação no Facebook,https://lupa.uol.com.br/jornalismo/2022/09/07/burj-khalifa-7-setembro,1,Lupa - UOL,lupa.uol.com.br,2022-09-06T00:00:00Z
"No Sete de Setembro, Bolsonaro repete informações falsas e transforma festa cívica em palanque",Nosso governo botou fim nas invasões do MST,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/07/7-setembro-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
"No Sete de Setembro, Bolsonaro repete informações falsas e transforma festa cívica em palanque",Defenderei até o último momento o direito de imprensa livre para que possa levar informações para vocês,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/07/7-setembro-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
"No Sete de Setembro, Bolsonaro repete informações falsas e transforma festa cívica em palanque",O nosso governo ressuscitou o modal ferroviário no Brasil,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/07/7-setembro-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
"No Sete de Setembro, Bolsonaro repete informações falsas e transforma festa cívica em palanque","(...) [No momento, o Brasil está] com uma gasolina das mais baratas do mundo (...)",Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/07/7-setembro-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
É antigo vídeo em que paraquedistas comentam sobre a expectativa para os atos de 7 de setembro,"Clima ontem a noite em Brasília, aguardando o 7 de setembro",Publicação no WhatsApp,https://lupa.uol.com.br/jornalismo/2022/09/07/paraquedistas-atos-7-setembro,1,Lupa - UOL,lupa.uol.com.br,2022-09-07T00:00:00Z
Não é montagem foto de pessoa em situação de rua ao lado de manifestantes no 7 de setembro,“OS ESQUERDOPATAS roubou até a foto original”,Post no Facebook,https://lupa.uol.com.br/jornalismo/2021/09/13/verificamos-foto-manifestantes,1,Lupa - UOL,lupa.uol.com.br,2021-09-13T00:00:00Z
É falso que Bolsonaro repreendeu Michelle antes de ato no 7 de setembro,"Tá querendo me f****, po**a? Vai subir lá e vai fazer cara bonita. Tira essa cara feia. Tira essa cara de c*. Tem que subir lá e sorrir pra todo mundo.",Vídeo que circula no WhatsApp,https://lupa.uol.com.br/jornalismo/2022/09/08/bolsonaro-repreendeu-michelle,1,Lupa - UOL,lupa.uol.com.br,2022-09-08T00:00:00Z
"No Sete de Setembro, Bolsonaro repete informações falsas e transforma festa cívica em palanque",[Estamos há] 3 anos e meio sem corrupção,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/07/7-setembro-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
Jovem Pan: o que é falso e o que é verdadeiro na entrevista de Bolsonaro,A Simone Tebet fala há alguns anos que precisava do voto impresso,Jair Bolsonaro,https://lupa.uol.com.br/jornalismo/2022/09/06/jovem-pan-entrevista-bolsonaro,1,Lupa - UOL,lupa.uol.com.br,
